lat;lon;crs;tas_anom
-88.5;68.5;b'';2.1092792
-88.5;69.5;b'';2.1126597
-88.5;70.5;b'';2.1147919
-88.5;71.5;b'';2.115038
-88.5;72.5;b'';2.1198757
-88.5;73.5;b'';2.1175551
-88.5;74.5;b'';2.1200962
-88.5;75.5;b'';2.1231282
-88.5;76.5;b'';2.122594
-88.5;77.5;b'';2.1254358
-88.5;78.5;b'';2.1308427
-88.5;79.5;b'';2.130135
-88.5;80.5;b'';2.1301446
-88.5;81.5;b'';2.1332455
-88.5;82.5;b'';2.1394873
-88.5;83.5;b'';2.1434197
-88.5;84.5;b'';2.1394675
-88.5;85.5;b'';2.1376944
-88.5;86.5;b'';2.1389146
-88.5;87.5;b'';2.1400726
-88.5;88.5;b'';2.1432886
-88.5;89.5;b'';2.144703
-88.5;90.5;b'';2.1460855
-88.5;91.5;b'';2.1472652
-88.5;92.5;b'';2.1453402
-88.5;93.5;b'';2.1459057
-88.5;94.5;b'';2.1462793
-88.5;95.5;b'';2.146651
-88.5;96.5;b'';2.1477942
-88.5;97.5;b'';2.1476305
-88.5;98.5;b'';2.1472268
-88.5;99.5;b'';2.1441777
-88.5;100.5;b'';2.1435277
-88.5;101.5;b'';2.1462657
-88.5;102.5;b'';2.1489725
-88.5;103.5;b'';2.1438494
-88.5;104.5;b'';2.14385
-88.5;105.5;b'';2.1433115
-88.5;106.5;b'';2.1445236
-88.5;107.5;b'';2.1466289
-88.5;108.5;b'';2.145811
-88.5;109.5;b'';2.1427822
-88.5;110.5;b'';2.1423314
-88.5;111.5;b'';2.142784
-88.5;112.5;b'';2.1421382
-88.5;113.5;b'';2.1436558
-88.5;114.5;b'';2.1432545
-88.5;115.5;b'';2.1444125
-88.5;116.5;b'';2.1469238
-88.5;117.5;b'';2.144752
-88.5;118.5;b'';2.1479201
-88.5;119.5;b'';2.1435547
-88.5;120.5;b'';2.1422617
-88.5;121.5;b'';2.1468737
-88.5;122.5;b'';2.143969
-88.5;123.5;b'';2.1397853
-88.5;124.5;b'';2.1436234
-88.5;125.5;b'';2.144409
-88.5;126.5;b'';2.1441164
-88.5;127.5;b'';2.1431782
-88.5;128.5;b'';2.1392953
-88.5;129.5;b'';2.135836
-88.5;130.5;b'';2.1346536
-88.5;131.5;b'';2.1349578
-88.5;132.5;b'';2.134432
-88.5;133.5;b'';2.1341054
-88.5;134.5;b'';2.1312845
-88.5;135.5;b'';2.1313126
-88.5;136.5;b'';2.1305237
-88.5;137.5;b'';2.1211493
-88.5;138.5;b'';2.122663
-88.5;139.5;b'';2.1192253
-88.5;140.5;b'';2.116034
-88.5;141.5;b'';2.1113591
-88.5;142.5;b'';2.1114848
-88.5;143.5;b'';2.1061697
-88.5;144.5;b'';2.102923
-88.5;145.5;b'';2.1010494
-88.5;146.5;b'';2.0984085
-88.5;147.5;b'';2.0945714
-88.5;148.5;b'';2.0930688
-88.5;149.5;b'';2.085227
-88.5;150.5;b'';2.0822167
-88.5;151.5;b'';2.0804853
-88.5;152.5;b'';2.078183
-88.5;153.5;b'';2.077254
-88.5;154.5;b'';2.076768
-88.5;155.5;b'';2.073025
-88.5;156.5;b'';2.0689135
-88.5;157.5;b'';2.069082
-88.5;158.5;b'';2.068167
-88.5;159.5;b'';2.0660245
-88.5;160.5;b'';2.0642192
-88.5;161.5;b'';2.0618856
-88.5;162.5;b'';2.0642757
-88.5;163.5;b'';2.0677643
-88.5;164.5;b'';2.0662518
-88.5;165.5;b'';2.06309
-88.5;166.5;b'';2.0626779
-88.5;167.5;b'';2.0656395
-88.5;168.5;b'';2.0634174
-88.5;169.5;b'';2.059933
-88.5;170.5;b'';2.058995
-88.5;171.5;b'';2.0583425
-88.5;172.5;b'';2.0578244
-88.5;173.5;b'';2.056318
-88.5;174.5;b'';2.0526426
-88.5;175.5;b'';2.0547872
-88.5;176.5;b'';2.0535932
-88.5;177.5;b'';2.0488446
-88.5;178.5;b'';2.04823
-88.5;179.5;b'';2.0466197
-87.5;-179.5;b'';1.9315577
-87.5;-178.5;b'';1.9315549
-87.5;-177.5;b'';1.9237976
-87.5;-176.5;b'';1.9242882
-87.5;-175.5;b'';1.9192034
-87.5;-174.5;b'';1.9137659
-87.5;-173.5;b'';1.9136034
-87.5;-172.5;b'';1.9110194
-87.5;-171.5;b'';1.9018133
-87.5;-170.5;b'';1.9007227
-87.5;-169.5;b'';1.8964747
-87.5;-168.5;b'';1.8836927
-87.5;-167.5;b'';1.8765843
-87.5;-166.5;b'';1.8768171
-87.5;-165.5;b'';1.8742766
-87.5;-164.5;b'';1.871167
-87.5;-163.5;b'';1.8661001
-87.5;-162.5;b'';1.8694357
-87.5;-161.5;b'';1.8720727
-87.5;-160.5;b'';1.8748263
-87.5;-159.5;b'';1.8739192
-87.5;-158.5;b'';1.8701543
-87.5;-157.5;b'';1.8713198
-87.5;-156.5;b'';1.868528
-87.5;-155.5;b'';1.8671615
-87.5;-154.5;b'';1.8619564
-87.5;-153.5;b'';1.8621976
-87.5;-152.5;b'';1.8581771
-87.5;-151.5;b'';1.8600547
-87.5;-150.5;b'';1.8586215
-87.5;-149.5;b'';1.8584027
-87.5;-148.5;b'';1.8640088
-87.5;-147.5;b'';1.8664043
-87.5;-146.5;b'';1.8678813
-87.5;-145.5;b'';1.8687162
-87.5;-144.5;b'';1.8759863
-87.5;-143.5;b'';1.8766298
-87.5;-142.5;b'';1.8780111
-87.5;-141.5;b'';1.87499
